醫院名稱,連絡電話,分機
長庚醫療財團法人基隆長庚紀念醫院,(02)24329292,2421
三軍總醫院附設民眾診療處,(02)87923311,17521
振興醫療財團法人振興醫院,(02)28264400,3029
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,(02)25433535,2986、3480
國立臺灣大學醫學院附設醫院,(02)23562098,
基督復臨安息日會醫療財團法人臺安醫院,(02)27718151,2339
國泰醫療財團法人國泰綜合醫院,(02)27082121,1040
新光醫療財團法人新光吳火獅紀念醫院,(02)28332211,2728、2729
臺北市立聯合醫院仁愛院區,(02)27093600,3549
臺北醫學大學附設醫院,(02)27372181,3915
臺北榮民總醫院,(02)28712121,8919
臺北市立萬芳醫院(委託財團法人私立臺北醫學大學辦理),(02)29307930,1809、7041
醫療財團法人辜公亮基金會和信治癌中心醫院,(02)28970011,3959
天主教耕莘醫療財團法人耕莘醫院,(02)22193391,66104
行天宮醫療志業醫療財團法人恩主公醫院,(02)26723456,6308
佛教慈濟醫療財團法人臺北慈濟醫院,(02)66289779,8009
國泰醫療財團法人汐止國泰綜合醫院,(02)26482121,3609
衛生福利部雙和醫院(委託台北醫學大學興建經營),(02)22490088,2411
醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,(02)77281709,
長庚醫療財團法人林口長庚紀念醫院,(03)3281200,5180、3563
沙爾德聖保祿修女會醫療財團法人聖保祿醫院(108年加入),(03)3613141,
敏盛綜合醫院,(03)3179599,7792
衛生福利部桃園醫院,(03)3699721,3021、3321
聯新國際醫院(壢新醫院),(03)4941234,8113
財團法人馬偕紀念醫院新竹分院,(03)6119595,6206
國立臺灣大學醫學院附設醫院新竹分院,(03)5326151,4527
佛教慈濟醫療財團法人花蓮慈濟醫院,(03)8561825,13285
財團法人羅許基金會羅東博愛醫院,(03)9543131,3211、1082
財團法人天主教靈醫會羅東聖母醫院,(03)9544106,6220
國立陽明大學附設醫院 蘭陽院區,(03)9325192,73182
臺灣基督教門諾會醫療財團法人門諾醫院,(03)8241445,
臺北市立聯合醫院和平院區,(02)23889595,2116
新竹國泰綜合醫院,(03)5278999,7120
大千綜合醫院,(037)357125,79104
中山醫學大學附設醫院,(04)24739595,20336
中國醫藥大學附設醫院,(04)22052121,7277
仁愛醫療財團法人大里仁愛醫院,(04)24819900,11428
光田醫療社團法人光田綜合醫院(沙鹿總院),(04)26625111,3209
佛教慈濟醫療財團法人台中慈濟醫院,(04)36060666,4000
童綜合醫療社團法人童綜合醫院,(04)26581919,3514
臺中榮民總醫院,(04)23592525,3271
澄清綜合醫院中港分院,(04)24632000,55164
衛生福利部豐原醫院,(04)25271180,2630
衛生福利部臺中醫院,(04)22294411,2954
亞洲大學附屬醫院,(04)37061668,
彰化基督教醫療財團法人員林基督教醫院,(04)8381456,2210
秀傳醫療財團法人彰濱秀傳紀念醫院,(04)7813888,70211
秀傳醫療社團法人秀傳紀念醫院,(04)7256166,66159
彰化基督教醫療財團法人彰化基督教醫院,(04)7238595,4533、3253
國立臺灣大學附設醫院雲林分院,(05)6330002,8209
林新醫療社團法人林新醫院,(04)22586688,
天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,(05)2756000,2271
戴德森醫療財團法人嘉義基督教醫院,(05)2765041,7179
長庚醫療財團法人嘉義長庚紀念醫院,(05)3621000,
佛教慈濟醫療財團法人大林慈濟醫院,(05)2648000,5685
奇美醫療財團法人奇美醫院,(06)2812811,53971
奇美醫療財團法人柳營奇美醫院,(06)6226999,77661
國立成功大學醫學院附設醫院,(06)2353535,3053、3088
臺灣基督教長老教會新樓醫療財團法人臺南新樓醫院,(06)2748316,1260
臺南市立醫院,(06)2609926,21122
臺南市立安南醫院(委託中國醫藥大學興建經營),(06)355-3111,1204
阮綜合醫療社團法人阮綜合醫院,(07)3351121,1616、3017
長庚醫療財團法人高雄長庚紀念醫院,(07)7317123,3259
高雄市立大同醫院,(07)2911101,8587
財團法人私立高雄醫學大學附設中和紀念醫院,(07)3121101,6890、5251
高雄市立小港醫院,(07)8036783,3493
高雄榮民總醫院,(07)3468201,
義大醫療財團法人義大醫院,(07)6150011,5209
國軍高雄總醫院附設民眾診療服務處,(07)7495512,
安泰醫療社團法人安泰醫院,(08)8329966,1680
衛生福利部屏東醫院,(08)7363011,1004
屏基醫療財團法人屏東基督教醫院,(08)7368686,1125
台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,(039)310150,629
郭綜合醫院,(06)2221111,1238
