name,representImage,intro,address,longitude,latitude,openTime,phone,email,headCityName,cityName,groupTypeName
人生書局,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D24/E141/F25/c177a5fb-2ef2-4a6d-855f-41343ee1f797.jpg,位在鹽埕區的新樂街上，看守著台灣戰後的歷史。早年人生書局只賣自己出版的書籍，是個相當「冷門」的書店。如今賣佛經、參考書以及文具，但不管如何，其存在其實就已經是意義。,新樂街145號,120.281814,22.620168,一～日｜09:00 - 21:00,,,,高雄市  鹽埕區,實體書店
一本書店,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D23/E170/F361/7d5109e4-8325-4611-881f-b2122f5717cc.jpg,位於台中文創園區對面的一本書店，與許多手作文創產業合作，在店內會舉辦教學課程。時常舉辦新詩朗讀會，搭配很有口碑的餐點，常會有客慕名而來；有時在綠川市集擺攤自家的輕食與書籍。書籍則以文學為主。,復興路3段348巷2-2號1樓,120.679643,24.132733,三～日｜12:00 - 17:00,,,,臺中市  南區,實體書店
書集喜室,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D15/E182/F610/bac79d1a-4a00-4d5d-841d-0f8fe802326c.jpg,"隱身在鹿港巷弄中的書集喜室，是一間二手書店，原本一棟快要廢棄的日治時期老屋，被店主買下，經過修復成為了現在的模樣，踏進書集喜室，彷彿時光倒流般時間都靜止了，老宅散發著濃濃的書卷氣味，帶領著你一起進入書香世界。


圖片擷取自不是觀光景點的書舖茶屋:書集喜室臉書粉絲專頁

本資料由文化部委託台灣閱讀推進協會建構，建立日期為107年5月15日。",彰化縣鹿港鎮杉行街20號,120.435059,24.057213,週三至週日11:00-17:30,,,,彰化縣  鹿港鎮,實體書店
樸食小舖,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D25/E214/F579/658adabb-f5db-43b1-8750-6ded5693503d.JPG,"樸食小舖，我們是「市集裡的書店」!

我們原先在新竹市開有機複合餐廳，後來移居苗栗公館鄉間，展開兩人六貓四狗的新生活。

我們跟著季節研發果醬，以手工製作老麵貝果、饅頭包子、年糕和水餃，也帶三四個木箱裝著食農、生活、設計與自然書籍去市集擺攤。

樸食小舖是「市集裡的書店」，一家沒有大門、跟著市集作息、任何人都可以來翻書看書買書的書店。最開心的是，因為沒有大門，反而看到許多農友、不分年齡的消費者，都會駐足書箱前面，享受閱讀。",新竹市光復路二段101號(清大成功湖邊),120.969102,24.806942,每月第一周和第三周的周六，早上九點到下午兩點,,nicole571105@gmail.com,竹蜻蜓綠市集,新竹市  新竹市,實體書店
小陽。日栽書屋,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D16/E131/F858/f15f08af-dff9-426c-a3ff-10df31663d22.jpg,"一點勇氣將小陽。春日子更明確蛻變成小陽。日栽書屋，走過那段和伙伴一起的充滿春分生命力的日子，延續小陽發光發熱的精神，期許將帶給屏東更多關於書、關於藝文、關於文化的事。

圖片擷取自書店裡的影像詩

本資料由文化部委託台灣閱讀推進協會建構，建立日期為107年5月16日。",屏東市中山路清營巷1號,120.501205,22.67797,週四至週日 14:00-20:00,,ssunville@hotmail.com,,屏東縣  屏東市,實體書店
世界書局,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D23/E152/F896/954660ff-2bf5-49af-9a83-cdfb028a8271.jpg,以其創辦人特有的「紅屋」屹立於重慶南路，是重慶南路書街風景中極具特色的一家書店。過去只販售自家出版品的世界書局，現今也販售特選的簡體字書籍。對於喜好中國古籍的人士來說，世界書局仍是相當重要的一家書店。,重慶南路一段99號,121.507818,25.039382,一～六｜10:00 - 19:00，日休,(02)23110183,,,臺北市  中正區,實體書店
人文書舍,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D23/E146/F641/3e17dd0e-aeb4-4cce-a6f4-045ea10eefe7.jpg,創始人是隨著國民政府來台的老兵，喜歡逛舊書攤的他退伍後便投入舊書行列，在牯嶺街的長巷中開設了人文書舍。書店如今由女婿打理，但人文書舍依然維持舊有的風格，持續見證著牯嶺街的舊書歷史。,牯嶺街62-2號,121.507818,25.039382,一～日11:00-18:00,(02)23214540,,,臺北市  中正區,實體書店
青鳥書店,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D26/E173/F276/6a7eca27-f6c3-4837-8555-4ae2267fd8bf.jpg,"建一間屬於自由的書店
不是為了獨立、不是為了隔絕，是為了自由；自由才可以追尋幸福，這是青鳥的本質。

在二元框架的世界裡，獨立像是一種相對於不獨立，主流與非主流的論述，自由的基礎若能在框限中跳躍著，掙脫既定思考，讓書店能自在產生獨立、連鎖、複製、風格、媒體的未來想像。",台北市中正區八德路一段一號,121.559834,25.091075,一-日 10:00-21:00,(02)2341-8865,bleubook2016@gmail.com,,臺北市,實體書店
松林書局,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D23/E154/F194/76610250-6474-4ca0-bdcf-ac1b601a3384.jpg,據說是當年牯嶺街舊書攤中第一個有名號的店，也是目前牯嶺街僅存的舊書店當中最老字號的。堆疊滿屋的舊書自成一套風景，蔡家父子兩代的經營，更讓松林充滿和書一般高的故事。,牯嶺街17號,121.507818,25.039382,不定期營業,(02)23510758,,,臺北市  中正區,實體書店
三民書局,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D23/E151/F623/811d0479-e6d4-464b-8daf-df28280f0427.jpg,在重慶南路上已有超過半個世紀的歷史，可說是重慶南路書街的重要代表店之一。三民以所謂的「圖書館式」書店為經營模式，將各類各樣的圖書陳列於架上供讀者自由選擇。在書街沒落的今日，三民書局儼然成為重慶南路實體書店的最醒目指標。,重慶南路一段61號,121.507818,25.039382,一～日｜ 9:00 - 22:00,(02)23617511,,,臺北市  中正區,實體書店
