書名,作者,售價
紙星星【限量作者印簽版】,晨羽,優惠價：85折561元
像我一樣甜：克萊兒甜心日記Claire’s photobook【簽名海報版】,鄔又曦 Claire,優惠價：79折395元
語意錯誤寫真劇本書：完整八集劇本與演員對白注記＆幕後編導的話，獨家雙主角親筆感謝信（附贈限量特典贈品組）,諸怡宣,優惠價：79折552元
別來無恙【限量作者印簽版】,晨羽,優惠價：85折323元
歸來的愛麗絲 1,押見修造,優惠價：95折95元
保坂與三好 上+下 (首刷限定版),スカーレット・ベリ子,優惠價：85折349元
靈異教師神眉 愛藏版 5 (首刷附錄版),"岡野剛,真倉翔",優惠價：95折238元
無法喘息的甜美熾熱 1,蜂巣,優惠價：85折119元
小書痴的下剋上：為了成為圖書管理員不擇手段！【第五部】女神的化身V,香月美夜,優惠價：79折253元
城市・程式：打造幸福臺北市，黃珊珊堅持初心的體制改革之旅,黃珊珊,優惠價：79折300元
原子習慣：細微改變帶來巨大成就的實證法則,詹姆斯‧克利爾,優惠價：79折261元
深夜食堂25,安倍夜郎,優惠價：79折190元
大局：傳奇台商征戰紐約40年的江湖撇步,黃文局,優惠價：79折316元
跨越：王志剛白首話當年產官學生涯,"王志剛,曾桂香,余佳芳",優惠價：79折593元
【博客來獨家簽名版】大人學選擇：成熟大人的獨立思考術（暢銷增訂版）,"張國洋,姚詩豪",優惠價：79折300元
不便利的便利店,金浩然,優惠價：79折316元
承擔：林佳龍的危機領導學,"吳佳晉,馬機,李珮宇",優惠價：79折308元
才女的侍從 3 在滿是高嶺之花的貴族學校暗中照顧（毫無生活自理能力的）學院第一大小姐 (首刷限定版),坂石遊作,優惠價：95折266元
趕走窮人思維，靠自己成為富一代：你阿公都看得懂的理財書！【關關發財好運親簽版】,關韶文,優惠價：79折316元
逆思維：華頓商學院最具影響力的教授，突破人生盲點的全局思考【博客來獨家書封版】,亞當．格蘭特,優惠價：79折332元
全彩圖解中央歐亞史：再現騎馬遊牧民的世界，二千年草原文明演變,金浩東,優惠價：79折790元
40歲開始子彈存股翻倍賺：億元教授教你看準趨勢，跟著升息循環買賣，快速實現財富自由【親簽版】,鄭廳宜,優惠價：79折332元
2023問神達人王崇禮相伴生肖運籤農民曆（隨書加贈：玉兔招財防漏錢母存摺套＋添貴人相助靈符貼紙、防小人盜賊祝融入侵符）,王崇禮,優惠價：79折315元
